Rank,max_speed,max_x,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,AttackInstance.attack_value,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,AttackInstance.attack_time,FollowingCarInstance.x0,AttackInstance.step_size
27,19.7584277138,439.603029059,0,1,73,0.2,50,0,0.5,20,0,0.01
28,19.8584271404,442.352029512,0,1,72,0.2,50,0,0.5,20,0,0.01
29,19.958426598,445.101031426,0,1,71,0.2,50,0,0.5,20,0,0.01
30,20.0584259793,447.850033079,0,1,70,0.2,50,0,0.5,20,0,0.01
31,20.1584254476,450.599034509,0,1,69,0.2,50,0,0.5,20,0,0.01
32,20.2584248707,453.348036172,0,1,68,0.2,50,0,0.5,20,0,0.01
33,20.3584242436,456.097037196,0,1,67,0.2,50,0,0.5,20,0,0.01
34,20.4584237191,458.846039246,0,1,66,0.2,50,0,0.5,20,0,0.01
35,20.5584230992,461.595040988,0,1,65,0.2,50,0,0.5,20,0,0.01
36,20.6584225985,464.344042302,0,1,64,0.2,50,0,0.5,20,0,0.01
37,20.7584220073,467.093043743,0,1,63,0.2,50,0,0.5,20,0,0.01
38,20.8584214088,469.8420451,0,1,62,0.2,50,0,0.5,20,0,0.01
39,20.9584208414,472.591046895,0,1,61,0.2,50,0,0.5,20,0,0.01
40,21.0584202561,475.340048074,0,1,60,0.2,50,0,0.5,20,0,0.01
41,21.1584196648,478.089049969,0,1,59,0.2,50,0,0.5,20,0,0.01
42,21.2584191343,480.838051463,0,1,58,0.2,50,0,0.5,20,0,0.01
43,21.3584184834,483.587052692,0,1,57,0.2,50,0,0.5,20,0,0.01
44,21.4584179363,486.336054285,0,1,56,0.2,50,0,0.5,20,0,0.01
45,21.5584173796,489.08505578,0,1,55,0.2,50,0,0.5,20,0,0.01
46,21.6584167549,491.834057954,0,1,54,0.2,50,0,0.5,20,0,0.01
47,21.7584162292,494.58305951,0,1,53,0.2,50,0,0.5,20,0,0.01
48,21.858415682,497.332061315,0,1,52,0.2,50,0,0.5,20,0,0.01
49,21.9584151241,500.081062282,0,1,51,0.2,50,0,0.5,20,0,0.01
50,22.058414472,502.83006326,0,1,50,0.2,50,0,0.5,20,0,0.01
51,22.1584139594,505.579064668,0,1,49,0.2,50,0,0.5,20,0,0.01
52,22.258413386,508.328067092,0,1,48,0.2,50,0,0.5,20,0,0.01
53,22.3584128067,511.077068197,0,1,47,0.2,50,0,0.5,20,0,0.01
54,22.4584121522,513.82606972,0,1,46,0.2,50,0,0.5,20,0,0.01
55,22.5584116337,516.57507105,0,1,45,0.2,50,0,0.5,20,0,0.01
56,22.6584110615,519.324071829,0,1,44,0.2,50,0,0.5,20,0,0.01
57,22.7584105012,522.073074375,0,1,43,0.2,50,0,0.5,20,0,0.01
58,22.8584098729,524.822076197,0,1,42,0.2,50,0,0.5,20,0,0.01
59,22.9584093723,527.571077291,0,1,41,0.2,50,0,0.5,20,0,0.01
60,23.0584087417,530.320078567,0,1,40,0.2,50,0,0.5,20,0,0.01
61,23.1584082219,533.0690803,0,1,39,0.2,50,0,0.5,20,0,0.01
62,23.2584077284,535.818081358,0,1,38,0.2,50,0,0.5,20,0,0.01
63,23.3584071037,538.567083425,0,1,37,0.2,50,0,0.5,20,0,0.01
64,23.4584065053,541.316084515,0,1,36,0.2,50,0,0.5,20,0,0.01
65,23.5584059247,544.065085982,0,1,35,0.2,50,0,0.5,20,0,0.01
66,23.6584052989,546.814087405,0,1,34,0.2,50,0,0.5,20,0,0.01
67,23.7584048566,549.563089358,0,1,33,0.2,50,0,0.5,20,0,0.01
68,23.8584041855,552.312090948,0,1,32,0.2,50,0,0.5,20,0,0.01
69,23.9584035715,555.061092359,0,1,31,0.2,50,0,0.5,20,0,0.01
70,24.0584030494,557.810094153,0,1,30,0.2,50,0,0.5,20,0,0.01
71,24.1584025308,560.559095259,0,1,29,0.2,50,0,0.5,20,0,0.01
72,24.2584019765,563.308097415,0,1,28,0.2,50,0,0.5,20,0,0.01
73,24.3584014019,566.057098633,0,1,27,0.2,50,0,0.5,20,0,0.01
74,24.4584008035,568.806100124,0,1,26,0.2,50,0,0.5,20,0,0.01
75,24.5584002849,571.555101524,0,1,25,0.2,50,0,0.5,20,0,0.01
76,24.6583996984,574.304103826,0,1,24,0.2,50,0,0.5,20,0,0.01
77,24.7583991465,577.053104994,0,1,23,0.2,50,0,0.5,20,0,0.01
78,24.8583985946,579.802107082,0,1,22,0.2,50,0,0.5,20,0,0.01
79,24.9583980152,582.551108707,0,1,21,0.2,50,0,0.5,20,0,0.01
80,25.058397406,585.300108911,0,1,20,0.2,50,0,0.5,20,0,0.01
81,25.1583968517,588.049111913,0,1,19,0.2,50,0,0.5,20,0,0.01
82,25.2583961472,590.798112955,0,1,18,0.2,50,0,0.5,20,0,0.01
83,25.358395724,593.547114981,0,1,17,0.2,50,0,0.5,20,0,0.01
84,25.4583951554,596.296116594,0,1,16,0.2,50,0,0.5,20,0,0.01
85,25.5583946249,599.045116916,0,1,15,0.2,50,0,0.5,20,0,0.01
86,25.6583939919,601.794118738,0,1,14,0.2,50,0,0.5,20,0,0.01
87,25.7583933899,604.543120785,0,1,13,0.2,50,0,0.5,20,0,0.01
88,25.8583928332,607.292121925,0,1,12,0.2,50,0,0.5,20,0,0.01
89,25.9583922634,610.041123414,0,1,11,0.2,50,0,0.5,20,0,0.01
90,26.0583917937,612.790125936,0,1,10,0.2,50,0,0.5,20,0,0.01
91,26.1583912191,615.539127315,0,1,9,0.2,50,0,0.5,20,0,0.01
92,26.258390623,618.288128972,0,1,8,0.2,50,0,0.5,20,0,0.01
93,26.3583899698,621.037130145,0,1,7,0.2,50,0,0.5,20,0,0.01
94,26.4583894762,623.786132045,0,1,6,0.2,50,0,0.5,20,0,0.01
95,26.5583889398,626.53513442,0,1,5,0.2,50,0,0.5,20,0,0.01
96,26.6583882985,629.284135527,0,1,4,0.2,50,0,0.5,20,0,0.01
97,26.7583877429,632.033135943,0,1,3,0.2,50,0,0.5,20,0,0.01
98,26.8583870944,634.782137958,0,1,2,0.2,50,0,0.5,20,0,0.01
99,26.9583865437,637.531139191,0,1,1,0.2,50,0,0.5,20,0,0.01
