Attack_value,Mean Distance,Max_Distance,Min_Distance,Max_following_car_accel,Min_following_car_accel
35,-467.00721156435526,50.0,-1567.7530738348823,2.773933172225952,-1.3539972305297852
36,-464.0021616472057,50.0,-1560.0050745667804,2.733933210372925,-1.3539972305297852
37,-460.99711085843313,50.0,-1552.2570725208361,2.6939332485198975,-1.3539972305297852
38,-457.992061083705,50.0,-1544.5090742096027,2.653933048248291,-1.3539972305297852
39,-454.98701065067445,50.0,-1536.7610730807423,2.6139330863952637,-1.3539972305297852
40,-451.98196039597394,50.0,-1529.0130728310796,2.5739331245422363,-1.3539972305297852
41,-448.9769103445933,50.0,-1521.2650731846197,2.533933162689209,-1.3539972305297852
42,-445.97186105874135,50.0,-1513.517075951972,2.4939332008361816,-1.3539972305297852
43,-442.9668107413277,50.0,-1505.769075253208,2.4539332389831543,-1.3539972305297852
44,-439.9617597771788,50.0,-1498.0210735147216,2.413933038711548,-1.3539972305297852
45,-436.9567101953987,50.0,-1490.273073842403,2.3739330768585205,-1.3539972305297852
46,-433.9516603537473,50.0,-1482.5250755076481,2.333933115005493,-1.3539972305297852
47,-430.94661012950985,50.0,-1474.7770742459707,2.293933153152466,-1.3539972305297852
48,-427.94156048429704,50.0,-1467.0290757038479,2.2539331912994385,-1.3539972305297852
49,-424.9365094150971,50.0,-1459.2810733816868,2.213933229446411,-1.3539972305297852
50,-421.9314592303975,50.0,-1451.5330731870722,2.1739330291748047,-1.3539972305297852
51,-418.9264097100523,50.0,-1443.785073371581,2.1339330673217773,-1.3539972305297852
52,-415.92135947946446,50.0,-1436.0370736329692,2.09393310546875,-1.3539972305297852
53,-412.9163092115086,50.0,-1428.28907319287,2.0539331436157227,-1.3539972305297852
54,-409.91125901017955,50.0,-1420.541073130068,2.0139331817626953,-1.3539972305297852
55,-406.90620798686075,50.0,-1412.793071556469,1.9739329814910889,-1.3539972305297852
56,-403.90115805533657,50.0,-1405.0450720179624,1.9339330196380615,-1.3539972305297852
57,-400.89610765993956,50.0,-1397.297070978264,1.8939330577850342,-1.3539972305297852
58,-397.89105786395504,50.0,-1389.5490716936138,1.8539330959320068,-1.3539972305297852
59,-394.88600789686257,50.0,-1381.8010720036145,1.8139331340789795,-1.3539972305297852
60,-391.88095706860275,50.0,-1374.0530698037855,1.773932933807373,-1.3539972305297852
61,-388.87590714207056,50.0,-1366.30506969336,1.7339329719543457,-1.3539972305297852
62,-385.87085651566827,50.0,-1358.5570688451744,1.6939330101013184,-1.3539972305297852
63,-382.8658067218586,50.0,-1350.8090703789958,1.653933048248291,-1.3539972305297852
64,-379.8607565596163,50.0,-1343.061069960438,1.6139330863952637,-1.3539972305297852
65,-376.8557065554936,50.0,-1335.3130710809191,1.5739331245422363,-1.3539972305297852
66,-373.850656205259,50.0,-1327.5650699659263,1.555088758468628,-1.3539972305297852
67,-370.8456052811573,50.0,-1319.8170676894133,1.5496150255203247,-1.3539972305297852
68,-367.8405553015728,50.0,-1312.069067379965,1.544209599494934,-1.3539972305297852
69,-364.83550523123625,50.0,-1304.3210678690712,1.5388693809509277,-1.3539972305297852
70,-361.8304550734584,50.0,-1296.573067411869,1.5335919857025146,-1.3539972305297852
71,-358.8254048852735,50.0,-1288.8250677202918,1.528374195098877,-1.3539972305297852
72,-355.8203541362274,50.0,-1281.077064724378,1.5232144594192505,-1.3539972305297852
73,-352.81530500573393,50.0,-1273.3290678726798,1.5181111097335815,-1.3539972305297852
74,-349.8102543805203,50.0,-1265.58106542507,1.513059377670288,-1.3539972305297852
75,-346.8052040792039,50.0,-1257.8330660383967,1.5080612897872925,-1.3539972305297852
76,-343.8001537820269,50.0,-1250.085065567122,1.5031113624572754,-1.3539972305297852
77,-340.79510359939565,50.0,-1242.3370649819199,1.4982110261917114,-1.3539972305297852
78,-337.7900536369473,50.0,-1234.5890654124669,1.4933562278747559,-1.3539972305297852
79,-334.7850030683584,50.0,-1226.8410643003526,1.48854660987854,-1.3539972305297852
80,-331.7799533614594,50.0,-1219.09306517488,1.4837816953659058,-1.3539972305297852
81,-328.77490277653476,50.0,-1211.3450641545314,1.4790586233139038,-1.3539972305297852
82,-325.76985284118086,50.0,-1203.5970640163205,1.4743775129318237,-1.3539972305297852
83,-322.7648023720004,50.0,-1195.8490638035705,1.4697356224060059,-1.3539972305297852
84,-319.7597523505228,50.0,-1188.1010638153234,1.4651328325271606,-1.3539972305297852
85,-316.7547021684891,50.0,-1180.3530631543817,1.4605679512023926,-1.3539972305297852
86,-313.7496518651604,50.0,-1172.6050632528518,1.4560402631759644,-1.3539972305297852
87,-310.74460146653144,50.0,-1164.8570620264586,1.4515488147735596,-1.3539972305297852
88,-307.73955132835556,50.0,-1157.1090625235988,1.4470927715301514,-1.3539972305297852
89,-304.7345011286928,50.0,-1149.3610615556363,1.4426701068878174,-1.3539972305297852
90,-301.7294506701169,50.0,-1141.6130618075836,1.4382821321487427,-1.3539972305297852
91,-298.72440031443,50.0,-1133.8650603545939,1.433925747871399,-1.3539972305297852
92,-295.71935038769425,50.0,-1126.1170611533948,1.4296013116836548,-1.3539972305297852
93,-292.71430037045565,50.0,-1118.3690607071744,1.4253075122833252,-1.3539972305297852
94,-289.70924986650454,50.0,-1110.6210602590104,1.4210457801818848,-1.3539972305297852
95,-286.704199648577,50.0,-1102.8730597935314,1.416813611984253,-1.3539972305297852
96,-283.69914908647223,50.0,-1095.1250582573275,1.4126098155975342,-1.3539972305297852
97,-280.69409915651244,50.0,-1087.377058710813,1.4084347486495972,-1.3539972305297852
98,-277.6890491083517,50.0,-1079.6290593071153,1.404288649559021,-1.3539972305297852
99,-274.68399843853655,50.0,-1071.881058801751,1.4001691341400146,-1.3539972305297852
100,-271.678948216308,50.0,-1064.1330577656909,1.3960766792297363,-1.3539972305297852
101,-268.6738981087209,50.0,-1056.385057744923,1.3937300443649292,-1.3539972305297852
